SID,SCHID,GENDER,Y2S2_1,Y2S2_2,Y2S2_3,Y2S2_4,Y2S2_5,Y2S2_6,Y2S2_7,Y2S2_8,Y2S2_9,Y2S2_10,Y2S2_11,Y2S2_12,Y2S2_13,Y2S2_14,Y2S2_15,Y2S2_16,Y2S2_17,Y2S2_18,Y2S2_19,Y2S2_20,Y2S2_21,Y2S2_22,Y2S2_23,Y2S2_24,Y2S2_25,Y2S2_26,Y2S2_27,Y2S2_28,Y2S2_29,Y2S2_30,Y2L3_1,Y2L3_2,Y2L3_3,Y2L3_4,Y2L6_15,Y2L6_16,Y2L6_17,Y2L6_18,Y2L6_19,Y2L6_5,Y2L6_6,Y2L6_7,Y2L6_8,Y2L6_9,Y2L6_10,Y2L6_11,Y2L6_12,Y2L6_13,Y2L6_14,Y2S36_1,Y2S36_2,Y2S36_3,Y2KOR_S,Y2ENG_S,Y2MAT_S,Y2KOR_V,Y2ENG_V,Y2MAT_V
2369,49,2,4,4,4,4,4,4,4,3,4,5,5,5,4,5,5,5,4,5,4,3,5,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,74,82,85,433,458,467
2370,49,2,5,4,4,5,4,4,4,3,4,4,4,4,5,5,5,5,4,3,3,3,2,3,2,3,4,4,5,4,5,5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,5,4,5,78,91,65,443,486,431
2371,49,2,5,4,4,5,3,4,3,3,5,4,5,4,4,5,5,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,2,5,5,5,80,85,55,455,465,415
2372,49,2,4,5,4,5,3,3,3,2,2,2,3,2,2,3,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,4,5,83,91,70,467,486,439
2373,49,2,5,5,5,5,5,4,5,2,4,3,3,5,5,3,4,4,2,2,5,1,3,4,5,1,5,2,4,3,5,5,4,3,2,4,3,2,2,2,3,1,1,1,1,1,2,2,2,3,3,3,4,3,45,64,45,352,423,397
2374,49,2,4,3,4,4,4,2,3,2,4,5,4,5,4,5,5,5,4,4,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,2,2,3,2,1,2,2,3,2,2,4,2,3,65,40,40,407,374,386
2375,49,2,3,3,4,3,3,5,3,2,5,5,5,5,5,5,5,4,4,3,4,4,1,3,2,3,4,4,3,2,3,4,3,3,2,3,4,4,4,3,4,1,2,2,1,1,1,1,2,1,1,5,2,3,86,49,75,483,395,447
2376,49,2,4,5,4,5,5,4,5,4,5,5,5,4,5,5,3,3,3,3,3,3,4,3,3,4,3,3,4,3,5,5,3,3,2,3,2,2,3,2,2,3,3,3,2,2,3,3,3,3,3,5,4,4,73,85,60,433,465,423
2377,49,2,4,4,4,4,4,5,4,3,5,5,5,4,3,5,4,4,3,3,3,3,4,3,3,4,3,3,4,4,3,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,5,5,5,88,91,90,501,486,480
2378,49,2,5,5,4,4,4,4,3,3,5,4,5,4,4,4,3,4,3,4,3,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,5,5,5,74,64,70,433,423,439
2379,49,2,4,4,4,5,4,4,4,3,5,5,5,5,4,5,5,5,5,4,2,2,3,3,4,4,4,5,4,4,4,4,4,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,5,5,5,91,94,80,526,503,456
